age,location_type,driving_points,years_driving_experience,vehicle_type,annual_mileage,credit_score,previous_claims,marital_status,policy_premium
53,Suburban,1,35,Truck,12156,673,1,Single,1380.19
67,Suburban,1,49,Sedan,12506,719,0,Single,789.84
57,Urban,3,39,Truck,14015,720,0,Married,1417.27
21,Urban,0,3,SUV,20488,685,1,Married,1621.24
19,Urban,1,1,SUV,9053,569,1,Married,1672.35
23,Urban,0,5,Sedan,16702,635,1,Married,1510.73
71,Suburban,0,53,Truck,15887,730,0,Single,698.67
59,Suburban,3,41,Truck,10468,593,0,Single,1347.64
21,Urban,3,3,Sedan,19867,759,0,Single,1487.82
71,Rural,1,53,SUV,16157,751,1,Married,1141.96
46,Suburban,2,28,Truck,11969,702,0,Married,1169.72
35,Urban,0,17,Sedan,6562,729,4,Single,1939.98
43,Urban,0,25,Sports,14916,726,1,Married,1656.5
61,Urban,4,43,SUV,13821,694,1,Single,1777.81
51,Urban,1,33,SUV,9877,631,1,Married,1511.24
27,Urban,4,9,Sedan,9825,748,1,Single,1790.44
53,Urban,4,35,Sedan,17474,770,0,Single,1283.54
31,Urban,4,13,Sports,6177,639,1,Married,2356.1
48,Urban,2,30,Sedan,15257,629,1,Married,1567.7
65,Rural,2,47,Truck,13250,693,1,Married,1098.1
32,Urban,3,14,Sedan,15988,668,1,Single,1810.63
25,Suburban,2,7,Sedan,12822,707,0,Single,1186.71
31,Urban,5,13,Sedan,15173,760,0,Single,1706.13
40,Rural,5,22,SUV,11028,587,0,Married,1935.88
74,Urban,1,56,Sports,13803,779,0,Married,1087.89
57,Urban,2,39,Sedan,15956,679,0,Single,1238.08
38,Rural,1,20,Sedan,14603,725,1,Single,1021.99
33,Rural,2,15,Sedan,15521,730,0,Married,1159.21
62,Rural,4,44,SUV,10288,736,0,Single,1095.75
35,Urban,2,17,SUV,11637,703,0,Married,1367.57
64,Urban,4,46,Truck,11706,714,0,Single,1262.46
70,Suburban,1,52,SUV,12894,714,2,Married,1505.63
41,Rural,3,23,SUV,19434,668,0,Married,1572.24
43,Suburban,2,25,Sedan,12583,612,1,Married,1519.08
42,Suburban,3,24,Sports,9425,639,0,Married,1620.43
62,Urban,3,44,Sedan,16166,694,0,Single,1424.44
58,Suburban,1,40,Sedan,19386,660,0,Married,981.75
46,Urban,3,28,SUV,8955,660,2,Married,1770.12
32,Urban,1,14,SUV,21891,789,0,Single,1404.7
62,Urban,3,44,SUV,15660,742,2,Single,1725.42
18,Suburban,4,0,SUV,18135,687,1,Single,2176.39
42,Urban,2,24,Truck,19868,733,2,Married,1864.41
24,Urban,3,6,Sedan,17890,678,1,Single,1929.72
26,Suburban,3,8,Truck,13557,705,0,Married,1638.01
41,Urban,3,23,SUV,18870,722,0,Single,1461.16
18,Suburban,3,0,SUV,15018,679,0,Married,1616.18
61,Urban,1,43,SUV,18361,665,0,Single,1252.35
25,Urban,0,7,Sedan,18799,761,0,Single,1294.24
41,Suburban,4,23,Truck,9636,730,0,Married,1335.7
28,Urban,1,10,SUV,17177,587,0,Married,1563.7
68,Urban,2,50,Sedan,13272,666,0,Single,1143.89
34,Urban,1,16,SUV,14552,660,0,Single,1368.56
25,Urban,5,7,Sports,14508,668,0,Single,2230.87
52,Rural,1,34,SUV,14347,743,0,Married,799.55
52,Urban,2,34,Sports,20094,700,0,Married,1896.84
50,Rural,2,32,Sedan,8534,630,2,Married,1388.24
22,Urban,1,4,Sedan,7110,680,0,Married,1198.47
59,Suburban,0,41,Sedan,6266,727,0,Married,628.24
56,Suburban,0,38,SUV,18276,689,1,Single,1483.91
58,Suburban,2,40,Sedan,10906,667,0,Married,906.61
45,Urban,2,27,Sedan,14528,716,0,Married,1422.29
24,Urban,3,6,Sports,13541,780,1,Single,2126.83
26,Urban,3,8,Truck,10454,723,2,Single,2066.02
25,Rural,0,7,Truck,17405,765,1,Single,1165.11
29,Rural,3,11,Sedan,13490,671,1,Single,1630.96
51,Rural,1,33,Sedan,13049,699,1,Married,1036.89
50,Urban,1,32,Sedan,14931,698,1,Married,1473.63
65,Suburban,3,47,Truck,16883,705,0,Married,1138.64
72,Rural,0,54,Sports,10164,722,2,Married,1382.14
40,Urban,1,22,SUV,17491,654,0,Married,1375.84
41,Urban,2,23,Sedan,19799,732,0,Married,1212.23
54,Suburban,2,36,SUV,8295,618,2,Single,1829.56
52,Suburban,1,34,Sedan,15113,633,0,Single,1134.74
61,Rural,1,43,Sedan,12780,806,0,Married,735.6
57,Urban,0,39,SUV,16796,674,1,Single,1206.95
39,Suburban,1,21,Truck,9133,736,0,Single,1147.41
44,Urban,2,26,Sedan,20515,784,1,Married,1720.27
52,Urban,1,34,Sedan,7568,584,0,Married,1096.36
18,Urban,4,0,Sports,13022,756,0,Single,2186.84
52,Rural,1,34,Sedan,15737,732,0,Married,815.74
54,Suburban,3,36,Sedan,11254,782,0,Married,886.57
64,Suburban,1,46,Sedan,10626,640,0,Single,876.83
31,Urban,3,13,Sedan,14888,772,0,Single,1482.14
20,Rural,0,2,Sedan,14311,663,1,Married,1226.35
18,Urban,1,0,Truck,14023,752,0,Single,1298.31
22,Rural,2,4,Sedan,17434,698,0,Single,1337.86
43,Urban,1,25,SUV,12422,738,0,Married,1205.64
72,Urban,2,54,SUV,15278,702,1,Married,1498.63
31,Urban,2,13,SUV,11973,608,1,Single,1883.38
56,Urban,2,38,Truck,10602,543,0,Single,1484.49
44,Suburban,4,26,Truck,12860,710,0,Single,1412.67
26,Suburban,2,8,Sedan,12004,686,0,Married,1306.23
32,Urban,3,14,Truck,12204,719,0,Single,1415.82
32,Rural,2,14,SUV,18661,687,1,Married,1762.26
43,Urban,1,25,Sports,12983,800,0,Married,1307.32
59,Suburban,2,41,SUV,11348,711,0,Single,1234.6
30,Rural,4,12,Sports,14112,677,0,Married,1812.82
68,Suburban,2,50,Truck,14416,716,0,Married,1058.44
49,Urban,0,31,Sedan,9252,678,0,Married,880.28
56,Rural,3,38,SUV,12806,704,0,Single,1096.49
66,Suburban,0,48,Sports,12645,639,0,Married,1028.7
69,Urban,5,51,Truck,13311,699,1,Married,1643.63
49,Urban,2,31,Sedan,16902,676,0,Married,1255.14
21,Suburban,3,3,Truck,14546,643,0,Single,1666.88
47,Suburban,2,29,Sedan,18911,798,1,Married,1401.7
54,Suburban,5,36,Sedan,13953,645,0,Single,1465.22
40,Rural,2,22,SUV,21104,700,0,Single,1248.36
56,Suburban,2,38,Sedan,12156,659,0,Single,941.57
62,Urban,1,44,Truck,10921,714,0,Married,1064.82
32,Urban,1,14,Sedan,16189,636,2,Married,1991.15
60,Urban,6,42,Truck,19456,742,1,Married,2095.47
46,Suburban,1,28,Sedan,8484,801,0,Married,848.75
53,Urban,2,35,Sedan,13212,658,2,Single,1791.03
30,Suburban,0,12,Sedan,11556,760,1,Married,1313.1
49,Suburban,4,31,Sedan,14571,680,0,Single,1419.77
24,Rural,2,6,Sedan,14040,775,0,Single,1160.71
68,Urban,3,50,Sedan,19381,809,0,Married,1061.14
39,Rural,3,21,SUV,13566,688,0,Married,1233.29
45,Urban,3,27,Sedan,19499,623,0,Married,1489.6
19,Rural,2,1,SUV,12739,747,0,Married,1307.67
59,Urban,1,41,Sedan,17705,711,0,Single,1053.15
62,Urban,2,44,Truck,14914,725,0,Single,1372.84
74,Suburban,3,56,Sports,20919,683,1,Married,1815.41
70,Urban,3,52,SUV,8091,655,0,Single,1406.75
23,Urban,3,5,Sedan,9344,758,0,Single,1335.65
45,Suburban,2,27,Sedan,21326,715,0,Married,1196.22
45,Suburban,3,27,Sports,11066,627,1,Single,1842.59
61,Suburban,2,43,Sedan,11320,734,1,Single,1096.57
61,Suburban,0,43,Sedan,10497,724,0,Married,736.15
37,Suburban,4,19,Sedan,18593,683,0,Married,1539.15
47,Urban,3,29,Sedan,8986,780,0,Married,1243.08
28,Urban,2,10,Sedan,14089,669,0,Married,1441.96
72,Urban,3,54,Truck,12937,691,0,Single,1206.31
45,Rural,2,27,Sedan,18146,738,0,Married,1260.02
42,Suburban,1,24,SUV,11745,703,0,Married,1146.28
56,Urban,4,38,Sedan,15661,630,1,Single,1888.22
50,Urban,3,32,Sedan,9315,709,0,Single,1196.1
18,Rural,4,0,Sports,23095,679,0,Married,2134.88
74,Urban,1,56,Sedan,13041,742,0,Married,903.42
44,Suburban,2,26,Truck,14035,707,0,Married,1258.87
74,Suburban,1,56,SUV,20619,704,2,Married,1295.84
69,Suburban,2,51,Sedan,11653,647,0,Married,994.12
30,Urban,1,12,Sports,20669,688,0,Married,1881.08
58,Rural,1,40,Sedan,12354,748,1,Married,1022.06
20,Rural,5,2,Truck,16686,661,0,Single,1843.37
56,Suburban,0,38,Sedan,11709,698,0,Married,608.41
23,Suburban,2,5,Truck,8575,653,1,Single,1583.08
25,Rural,4,7,Sedan,15658,640,0,Married,1596.01
44,Suburban,2,26,SUV,16559,695,1,Married,1634.92
26,Urban,0,8,Truck,8736,708,1,Married,1532.51
54,Suburban,5,36,Sports,12771,799,1,Married,1896.58
50,Suburban,2,32,Sports,18803,677,0,Married,1647.13
68,Urban,4,50,Truck,16400,697,1,Single,1688.14
59,Suburban,3,41,Truck,12419,637,1,Single,1470.09
61,Rural,1,43,Sedan,11609,730,1,Married,735.56
41,Rural,2,23,Sedan,21792,719,1,Married,1453.48
32,Urban,5,14,Sedan,8212,774,2,Married,2023.57
71,Urban,1,53,Sedan,13763,755,2,Single,1264.13
49,Rural,1,31,Sedan,8141,717,0,Married,612.7
49,Rural,1,31,SUV,19259,676,0,Married,1215.86
41,Urban,3,23,Sedan,13971,710,0,Married,1349.97
58,Rural,2,40,SUV,14712,694,0,Married,1161.37
69,Rural,1,51,Sedan,25075,747,0,Married,1010.03
66,Suburban,0,48,Sedan,11626,741,0,Married,420.75
66,Suburban,1,48,SUV,20994,685,0,Single,1059.45
69,Urban,0,51,Truck,12437,626,0,Married,974.62
29,Urban,3,11,Truck,13065,766,2,Single,2120.46
56,Urban,2,38,SUV,24552,729,1,Married,1503.14
19,Rural,0,1,Sedan,13355,684,1,Single,1465.91
20,Urban,1,2,SUV,8502,727,0,Single,1360.62
66,Urban,3,48,Sedan,15127,703,3,Married,1944.8
54,Urban,2,36,Sedan,13309,765,0,Single,1040.33
66,Suburban,1,48,SUV,15468,603,0,Married,1125.89
73,Rural,3,55,Sedan,13465,680,0,Married,1062.79
34,Urban,4,16,Sedan,22862,779,0,Married,1475.58
66,Urban,0,48,Sports,16226,728,1,Married,1507.93
19,Suburban,1,1,Sports,9700,788,0,Single,1393.08
19,Urban,1,1,Sedan,14498,638,1,Married,1602.26
45,Urban,2,27,Sedan,10801,753,2,Single,1871.11
71,Urban,2,53,Sedan,13009,750,0,Single,984.04
40,Urban,0,22,Sedan,10358,615,0,Married,1174.2
54,Urban,2,36,Sports,22428,685,0,Single,1830.7
49,Urban,0,31,Sedan,11234,694,0,Married,793.38
50,Urban,4,32,Truck,16750,619,0,Married,1877.98
18,Rural,1,0,Sedan,12706,686,1,Married,1136.69
36,Urban,5,18,Sports,9366,743,1,Married,2111.11
19,Suburban,1,1,Sedan,14790,680,0,Single,1223.95
70,Suburban,1,52,Truck,15602,712,1,Married,1234.2
61,Urban,0,43,Sedan,16234,712,0,Married,909.38
43,Suburban,1,25,SUV,5000,699,1,Married,1285.82
49,Urban,2,31,Sedan,9060,664,1,Single,1436.7
23,Rural,0,5,Sedan,17830,732,0,Married,887.65
49,Urban,3,31,Sports,10305,620,2,Single,2142.85
72,Urban,4,54,Sports,14811,700,1,Single,1998.82
21,Urban,2,3,Truck,8967,769,0,Married,1422.38
72,Rural,5,54,SUV,16926,677,0,Married,1570.84
28,Suburban,2,10,Truck,17725,663,0,Married,1408.37
73,Suburban,3,55,Sedan,16927,736,0,Married,1095.19
34,Urban,1,16,Sedan,18130,708,0,Married,1229.58
55,Suburban,2,37,Sedan,20255,737,0,Single,1217.37
41,Urban,0,23,SUV,9303,701,1,Single,1462.24
22,Rural,3,4,Sedan,10845,580,1,Single,1747.8
69,Urban,1,51,Sedan,17590,758,0,Married,860.9
51,Urban,3,33,SUV,18520,803,0,Single,1471.39
23,Urban,3,5,Truck,11302,764,1,Single,1814.22
39,Urban,1,21,Sedan,11024,523,0,Married,1320.42
28,Suburban,3,10,Sedan,11391,722,0,Single,1191.09
65,Urban,0,47,Sedan,7579,676,1,Single,1000.83
33,Suburban,1,15,Sedan,8914,645,1,Married,1523.75
50,Urban,0,32,Sedan,9010,706,1,Single,1240.8
26,Suburban,2,8,SUV,12823,692,1,Single,1575.11
23,Urban,1,5,SUV,15083,725,0,Single,1307.97
33,Urban,4,15,SUV,15733,702,1,Married,2126.46
46,Suburban,3,28,Sedan,11965,643,0,Married,1193.41
20,Urban,1,2,Truck,12064,671,0,Single,1485.39
37,Urban,1,19,Sedan,14494,663,1,Married,1435.3
53,Rural,4,35,SUV,8015,614,1,Single,1816.93
36,Rural,1,18,Truck,17837,631,0,Married,1176.01
43,Urban,1,25,Sedan,19141,689,1,Single,1593.95
20,Urban,1,2,Sedan,11497,771,0,Married,1194.44
36,Suburban,3,18,Truck,12406,673,2,Married,1973.81
37,Urban,1,19,Sedan,18973,662,1,Married,1368.56
49,Urban,2,31,SUV,13507,640,1,Single,1470.31
24,Urban,5,6,Sedan,16352,701,0,Single,1779.72
69,Suburban,1,51,SUV,13630,758,2,Married,1410.14
58,Suburban,2,40,Sedan,20225,800,0,Single,866.86
50,Urban,5,32,Sedan,15960,714,0,Married,1459.53
57,Urban,1,39,SUV,16190,706,0,Married,1254.0
56,Urban,4,38,Sedan,16265,672,0,Married,1524.26
35,Suburban,4,17,Sedan,11779,681,0,Single,1441.41
57,Urban,1,39,Sedan,12147,731,1,Married,1277.73
18,Urban,2,0,Sedan,17076,684,1,Married,1658.72
28,Suburban,3,10,Sedan,14505,691,0,Married,1381.48
45,Urban,6,27,Sedan,9289,698,0,Single,1817.12
74,Suburban,0,56,Sports,21492,670,0,Single,1232.21
42,Urban,4,24,Sedan,17912,696,2,Single,2081.31
67,Urban,3,49,SUV,14150,599,0,Single,1718.34
40,Urban,1,22,Sedan,12905,727,0,Married,963.14
48,Suburban,4,30,Sedan,14794,817,2,Married,1772.05
47,Rural,1,29,Sports,16070,672,1,Single,1793.45
59,Rural,2,41,Sedan,5867,718,0,Married,746.52
52,Urban,1,34,Sports,22449,742,0,Single,1613.7
24,Suburban,4,6,Sedan,10840,764,2,Single,1806.4
33,Urban,3,15,Truck,13992,686,0,Single,1508.21
43,Urban,6,25,SUV,14139,609,0,Single,2063.08
65,Rural,1,47,Truck,21987,713,0,Married,1040.16
74,Urban,2,56,SUV,13647,706,1,Single,1505.8
69,Urban,1,51,SUV,20354,682,2,Married,1857.27
66,Urban,2,48,Sedan,15626,693,0,Married,1100.15
19,Urban,3,1,Sedan,10152,707,0,Married,1619.14
18,Urban,3,0,Sports,14538,718,1,Single,2172.84
65,Suburban,0,47,Sedan,13525,715,1,Single,1050.58
29,Urban,1,11,Sedan,9663,689,0,Single,1220.19
22,Rural,1,4,Truck,15430,719,2,Single,1741.52
54,Rural,4,36,Sedan,14088,685,0,Single,1274.17
49,Urban,1,31,Sports,16225,732,2,Married,1812.9
72,Urban,4,54,Truck,14773,668,0,Married,1311.18
26,Urban,0,8,SUV,11395,703,0,Married,1268.68
58,Suburban,3,40,Truck,17073,618,1,Married,1506.37
52,Urban,1,34,Sedan,11502,681,0,Single,1138.15
36,Suburban,2,18,Sedan,5000,728,1,Single,1372.16
65,Urban,4,47,SUV,14514,648,0,Married,1588.43
33,Suburban,2,15,Sedan,11783,683,0,Married,1116.13
20,Urban,1,2,Truck,15528,579,1,Married,2012.43
37,Urban,1,19,Sports,21995,631,1,Married,2261.15
41,Rural,2,23,SUV,22110,644,0,Single,1442.36
71,Suburban,1,53,Sedan,13339,705,0,Single,845.64
73,Urban,2,55,Sports,10693,716,0,Single,1362.57
50,Rural,1,32,SUV,16338,697,0,Single,1122.61
41,Urban,2,23,SUV,12519,680,2,Single,1917.83
69,Rural,0,51,Sedan,15567,681,0,Married,656.55
28,Suburban,1,10,Sports,11356,735,0,Married,1554.41
66,Urban,4,48,SUV,15002,710,1,Married,1946.59
25,Urban,3,7,Truck,10752,683,0,Married,1456.77
53,Urban,2,35,Truck,18737,764,0,Married,1240.67
55,Suburban,2,37,Sedan,11640,797,0,Single,761.05
57,Suburban,1,39,SUV,16644,637,0,Single,1367.36
37,Urban,5,19,Truck,8940,726,0,Married,1590.33
52,Urban,0,34,Sedan,17124,850,0,Single,621.54
65,Rural,2,47,Truck,10134,714,1,Single,1214.83
42,Rural,3,24,Sports,15044,705,0,Single,1766.59
52,Suburban,1,34,SUV,18092,697,0,Single,1246.24
42,Urban,2,24,Truck,13200,724,0,Married,1336.48
46,Urban,4,28,Truck,9883,737,0,Single,1495.66
35,Urban,3,17,Truck,15987,637,0,Married,1805.79
63,Rural,2,45,Sedan,10636,698,0,Married,761.12
35,Urban,1,17,Sedan,12383,586,0,Single,1335.56
19,Suburban,3,1,SUV,15061,689,0,Single,1605.15
71,Urban,2,53,SUV,19442,654,0,Single,1215.84
52,Suburban,1,34,SUV,14106,716,1,Single,1308.75
33,Suburban,0,15,Truck,14091,617,0,Married,1332.64
58,Rural,0,40,Sedan,16950,674,0,Married,835.91
53,Urban,2,35,SUV,14201,748,0,Married,1321.45
50,Urban,0,32,Sedan,16542,666,0,Single,1063.78
21,Urban,1,3,Truck,18314,604,0,Married,1673.04
50,Rural,0,32,SUV,12689,712,1,Married,1042.28
31,Rural,0,13,Sedan,5000,670,0,Married,791.05
38,Suburban,2,20,Sedan,10728,690,2,Married,1681.12
65,Suburban,2,47,Truck,18834,663,0,Married,1235.76
37,Suburban,4,19,SUV,13864,798,0,Married,1476.98
73,Urban,4,55,Sedan,12643,622,0,Married,1338.81
25,Rural,0,7,Sports,18667,841,0,Single,1180.76
24,Urban,2,6,Truck,13594,680,0,Married,1847.69
20,Urban,1,2,Sports,5629,709,1,Single,1921.61
34,Suburban,2,16,SUV,7978,671,0,Single,1372.48
50,Urban,1,32,SUV,15674,669,0,Married,1278.29
65,Urban,0,47,Truck,13732,660,1,Married,1200.86
29,Suburban,4,11,SUV,19818,730,0,Single,1687.19
68,Urban,4,50,Truck,11066,629,0,Single,1487.77
39,Suburban,1,21,Sedan,12761,718,0,Single,834.37
72,Urban,1,54,SUV,10461,590,0,Married,1008.98
39,Urban,3,21,Sedan,11917,713,0,Married,1293.57
63,Urban,6,45,Sedan,6432,742,0,Married,1420.19
47,Urban,1,29,Sedan,12457,636,0,Married,1152.93
55,Suburban,1,37,Sedan,13792,733,0,Single,1035.19
55,Urban,3,37,Sports,13454,702,1,Married,1770.57
62,Suburban,3,44,Sedan,22598,779,0,Single,1059.34
68,Urban,1,50,SUV,21333,657,0,Married,1412.5
71,Suburban,2,53,Truck,10996,840,0,Married,790.05
25,Rural,2,7,SUV,5824,580,1,Married,1745.84
44,Suburban,1,26,Sedan,13603,683,0,Single,1252.67
44,Urban,2,26,Truck,15506,615,0,Single,1428.71
51,Urban,2,33,SUV,10558,792,2,Single,1642.44
38,Urban,2,20,Truck,10756,686,0,Married,1341.1
47,Suburban,2,29,Truck,20330,691,0,Married,1136.99
50,Urban,2,32,Sports,12969,722,0,Single,1520.5
45,Urban,1,27,SUV,16649,699,1,Married,1649.34
64,Suburban,1,46,Sedan,10278,670,0,Married,911.23
50,Urban,5,32,SUV,13772,637,1,Single,2112.99
22,Suburban,3,4,Sedan,12654,708,0,Married,1374.26
65,Urban,3,47,Truck,11298,718,1,Married,1416.86
36,Urban,1,18,Sedan,18621,734,2,Married,1837.24
21,Suburban,2,3,Sedan,8444,795,2,Single,1556.43
52,Urban,7,34,Truck,15200,591,0,Single,2094.91
66,Suburban,2,48,SUV,12579,696,1,Single,1373.02
34,Urban,2,16,Sedan,15659,759,0,Single,1410.56
61,Urban,3,43,SUV,12633,693,2,Single,1969.14
45,Rural,0,27,Truck,17468,583,0,Married,997.99
47,Suburban,2,29,Sedan,10241,635,0,Married,1046.36
46,Suburban,2,28,Truck,18630,716,0,Married,1335.34
63,Urban,2,45,Sedan,13884,714,0,Single,1066.83
70,Suburban,1,52,Truck,8685,733,1,Married,995.26
23,Urban,2,5,Truck,16720,660,0,Married,1718.36
52,Urban,1,34,Sedan,13204,712,0,Married,1052.81
58,Rural,2,40,SUV,7168,652,1,Married,1310.77
54,Urban,2,36,Sedan,15329,712,0,Married,1247.92
41,Rural,5,23,Truck,18026,702,0,Married,1551.88
46,Urban,2,28,SUV,19128,658,0,Single,1678.77
66,Urban,2,48,SUV,12486,777,0,Married,1004.99
63,Suburban,1,45,Sedan,14581,614,0,Single,1079.41
70,Rural,1,52,Sedan,14202,692,0,Single,878.41
48,Suburban,0,30,Sedan,19959,657,0,Single,892.16
52,Rural,0,34,Sedan,10758,791,0,Single,524.54
50,Suburban,2,32,SUV,12141,729,0,Single,1292.84
69,Suburban,4,51,Truck,10661,667,0,Single,1403.14
38,Rural,2,20,SUV,8203,686,0,Single,1162.9
49,Urban,5,31,SUV,14991,793,0,Married,1519.9
40,Urban,1,22,Sports,20405,652,0,Single,1823.67
50,Urban,1,32,Truck,13206,611,1,Married,1669.94
20,Rural,2,2,Sports,10472,714,0,Single,1449.61
35,Rural,0,17,SUV,14747,715,0,Married,898.31
42,Urban,0,24,Sedan,16356,733,2,Married,1532.37
59,Suburban,4,41,Sedan,13374,733,0,Married,1272.05
48,Rural,3,30,Truck,19614,788,0,Married,1158.3
71,Urban,1,53,Sedan,10750,614,0,Single,1060.18
20,Suburban,2,2,Sedan,12852,639,0,Married,1343.27
57,Rural,0,39,SUV,15183,733,1,Married,860.78
63,Urban,0,45,SUV,15571,644,1,Married,1321.17
41,Suburban,1,23,SUV,14188,627,2,Married,1820.64
67,Urban,2,49,Sedan,8886,793,0,Single,820.21
49,Rural,2,31,Sedan,23352,619,0,Married,1153.92
64,Rural,1,46,SUV,13056,682,0,Single,749.28
39,Rural,0,21,Sports,14441,697,0,Married,1207.71
40,Urban,3,22,Truck,16467,765,0,Single,1529.27
19,Rural,3,1,Sports,11453,606,0,Married,1996.41
44,Rural,3,26,Truck,14227,720,1,Single,1610.18
59,Urban,5,41,SUV,11291,655,1,Single,1833.27
19,Rural,2,1,Sedan,15662,731,1,Married,1361.06
43,Urban,2,25,SUV,12895,654,0,Married,1508.09
34,Suburban,3,16,SUV,15074,778,1,Married,1710.62
57,Urban,2,39,SUV,9813,654,1,Single,1590.21
50,Urban,2,32,SUV,10684,576,0,Single,1284.85
26,Urban,2,8,SUV,8539,660,0,Married,1433.4
60,Suburban,6,42,Sedan,11157,686,1,Married,1725.39
71,Urban,4,53,SUV,5000,754,1,Married,1504.72
65,Suburban,1,47,Sedan,12771,637,0,Married,1012.8
56,Urban,6,38,Truck,11863,638,0,Married,1807.37
46,Urban,1,28,Sedan,14603,748,1,Single,1332.12
59,Suburban,3,41,Sedan,14178,631,0,Married,1262.66
72,Suburban,1,54,SUV,19028,691,0,Married,1111.48
43,Urban,3,25,SUV,24377,692,0,Single,1724.94
52,Suburban,4,34,SUV,18550,710,0,Married,1533.82
67,Rural,3,49,Sedan,12187,662,0,Married,986.97
42,Suburban,3,24,SUV,12026,653,1,Single,1733.02
41,Urban,2,23,Sedan,17474,716,0,Single,1348.57
30,Urban,4,12,Sports,7266,655,2,Single,2493.24
24,Rural,4,6,Sports,12739,632,0,Married,1969.17
74,Urban,1,56,SUV,13047,761,1,Single,1316.48
53,Rural,2,35,Sedan,16336,724,0,Single,1001.56
